Gravité;Fichier;Ligne;Enregistrement;Champ;Anomalie;Valeur lue;Valeur retenue;Valeur remplacée
Repris avec correction automatique;export_clients_cavegest.xlsx;10;Client T00009;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);641459052;+33641459052;
Repris avec correction automatique;export_clients_cavegest.xlsx;13;Client T00012;zip;Code postal complété d'un zéro initial (perdu par le tableur);5000;05000;
Repris avec correction automatique;export_clients_cavegest.xlsx;13;Client T00012;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);687842903;+33687842903;
Repris avec correction automatique;export_clients_cavegest.xlsx;14;Client T00013;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;14;Client T00013;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);688983602;+33688983602;
Repris avec correction automatique;export_clients_cavegest.xlsx;15;Client T00014;phone;Téléphone complété d'un zéro initial (perdu par le tableur);574690103;+33574690103;
Repris avec correction automatique;export_clients_cavegest.xlsx;17;Client T00016;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;18;Client T00017;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;19;Client T00018;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;19;Client T00018;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;19;Client T00018;phone;Téléphone complété d'un zéro initial (perdu par le tableur);525564980;+33525564980;
Repris avec correction automatique;export_clients_cavegest.xlsx;20;Client T00019;phone;Téléphone complété d'un zéro initial (perdu par le tableur);414466950;+33414466950;
Repris avec correction automatique;export_clients_cavegest.xlsx;20;Client T00019;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);646388179;+33646388179;
Repris avec correction automatique;export_clients_cavegest.xlsx;21;Client T00020;phone;Téléphone complété d'un zéro initial (perdu par le tableur);141536149;+33141536149;
Repris avec correction automatique;export_clients_cavegest.xlsx;21;Client T00020;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);686255461;+33686255461;
Repris avec correction automatique;export_clients_cavegest.xlsx;22;Client T00021;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;22;Client T00021;phone;Téléphone complété d'un zéro initial (perdu par le tableur);171692613;+33171692613;
Repris avec correction automatique;export_clients_cavegest.xlsx;22;Client T00021;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);677195218;+33677195218;
Repris avec correction automatique;export_clients_cavegest.xlsx;22;Client T00021;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;23;Client T00022;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;23;Client T00022;phone;Téléphone complété d'un zéro initial (perdu par le tableur);526324038;+33526324038;
Repris avec correction automatique;export_clients_cavegest.xlsx;24;Client T00023;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;26;Client T00025;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;26;Client T00025;phone;Téléphone complété d'un zéro initial (perdu par le tableur);441282476;+33441282476;
Repris avec correction automatique;export_clients_cavegest.xlsx;27;Client T00026;shipping_zip;Code postal complété d'un zéro initial (perdu par le tableur);1100;01100;
Repris avec correction automatique;export_clients_cavegest.xlsx;29;Client T00028;zip;Code postal complété d'un zéro initial (perdu par le tableur);9000;09000;
Repris avec correction automatique;export_clients_cavegest.xlsx;30;Client T00029;phone;Téléphone complété d'un zéro initial (perdu par le tableur);417606121;+33417606121;
Repris avec correction automatique;export_clients_cavegest.xlsx;31;Client T00030;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;31;Client T00030;phone;Téléphone complété d'un zéro initial (perdu par le tableur);442442823;+33442442823;
Repris avec correction automatique;export_clients_cavegest.xlsx;31;Client T00030;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);660166827;+33660166827;
Repris avec correction automatique;export_clients_cavegest.xlsx;32;Client T00031;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;33;Client T00032;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;33;Client T00032;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);668900370;+33668900370;
Repris avec correction automatique;export_clients_cavegest.xlsx;34;Client T00033;phone;Téléphone complété d'un zéro initial (perdu par le tableur);427100427;+33427100427;
Repris avec correction automatique;export_clients_cavegest.xlsx;35;Client T00034;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;35;Client T00034;phone;Téléphone complété d'un zéro initial (perdu par le tableur);472943807;+33472943807;
Repris avec correction automatique;export_clients_cavegest.xlsx;38;Client T00037;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;38;Client T00037;phone;Téléphone complété d'un zéro initial (perdu par le tableur);260159815;+33260159815;
Repris avec correction automatique;export_clients_cavegest.xlsx;38;Client T00037;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);629692212;+33629692212;
Repris avec correction automatique;export_clients_cavegest.xlsx;39;Client T00038;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);667361422;+33667361422;
Repris avec correction automatique;export_clients_cavegest.xlsx;39;Client T00038;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;41;Client T00040;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;42;Client T00041;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;43;Client T00042;shipping_zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;44;Client T00043;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);620033014;+33620033014;
Repris avec correction automatique;export_clients_cavegest.xlsx;44;Client T00043;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;45;Client T00044;zip;Code postal complété d'un zéro initial (perdu par le tableur);1100;01100;
Repris avec correction automatique;export_clients_cavegest.xlsx;45;Client T00044;phone;Téléphone complété d'un zéro initial (perdu par le tableur);278513154;+33278513154;
Repris avec correction automatique;export_clients_cavegest.xlsx;47;Client T00046;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);681719211;+33681719211;
Repris avec correction automatique;export_clients_cavegest.xlsx;48;Client T00047;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;48;Client T00047;phone;Téléphone complété d'un zéro initial (perdu par le tableur);232287030;+33232287030;
Repris avec correction automatique;export_clients_cavegest.xlsx;48;Client T00047;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);649788841;+33649788841;
Repris avec correction automatique;export_clients_cavegest.xlsx;48;Client T00047;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;49;Client T00048;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);686741412;+33686741412;
Repris avec correction automatique;export_clients_cavegest.xlsx;50;Client T00049;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;51;Client T00050;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;52;Client T00051;phone;Téléphone complété d'un zéro initial (perdu par le tableur);446745047;+33446745047;
Repris avec correction automatique;export_clients_cavegest.xlsx;56;Client T00055;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);681265963;+33681265963;
Repris avec correction automatique;export_clients_cavegest.xlsx;57;Client T00056;zip;Code postal complété d'un zéro initial (perdu par le tableur);9000;09000;
Repris avec correction automatique;export_clients_cavegest.xlsx;57;Client T00056;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);686916519;+33686916519;
Repris avec correction automatique;export_clients_cavegest.xlsx;58;Client T00057;zip;Code postal complété d'un zéro initial (perdu par le tableur);5000;05000;
Repris avec correction automatique;export_clients_cavegest.xlsx;58;Client T00057;phone;Téléphone complété d'un zéro initial (perdu par le tableur);276077285;+33276077285;
Repris avec correction automatique;export_clients_cavegest.xlsx;60;Client T00059;zip;Code postal complété d'un zéro initial (perdu par le tableur);5000;05000;
Repris avec correction automatique;export_clients_cavegest.xlsx;60;Client T00059;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);659984204;+33659984204;
Repris avec correction automatique;export_clients_cavegest.xlsx;61;Client T00060;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;61;Client T00060;phone;Téléphone complété d'un zéro initial (perdu par le tableur);360313508;+33360313508;
Repris avec correction automatique;export_clients_cavegest.xlsx;62;Client T00061;phone;Téléphone complété d'un zéro initial (perdu par le tableur);413686681;+33413686681;
Repris avec correction automatique;export_clients_cavegest.xlsx;62;Client T00061;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);634619479;+33634619479;
Repris avec correction automatique;export_clients_cavegest.xlsx;62;Client T00061;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;63;Client T00062;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;63;Client T00062;phone;Téléphone complété d'un zéro initial (perdu par le tableur);461547174;+33461547174;
Repris avec correction automatique;export_clients_cavegest.xlsx;63;Client T00062;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;65;Client T00064;phone;Téléphone complété d'un zéro initial (perdu par le tableur);194213862;+33194213862;
Repris avec correction automatique;export_clients_cavegest.xlsx;65;Client T00064;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);615818911;+33615818911;
Repris avec correction automatique;export_clients_cavegest.xlsx;66;Client T00065;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;67;Client T00066;zip;Code postal complété d'un zéro initial (perdu par le tableur);1100;01100;
Repris avec correction automatique;export_clients_cavegest.xlsx;67;Client T00066;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);662185532;+33662185532;
Repris avec correction automatique;export_clients_cavegest.xlsx;68;Client T00067;phone;Téléphone complété d'un zéro initial (perdu par le tableur);534771657;+33534771657;
Repris avec correction automatique;export_clients_cavegest.xlsx;69;Client T00068;phone;Téléphone complété d'un zéro initial (perdu par le tableur);243178826;+33243178826;
Repris avec correction automatique;export_clients_cavegest.xlsx;70;Client T00069;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;70;Client T00069;phone;Téléphone complété d'un zéro initial (perdu par le tableur);343715829;+33343715829;
Repris avec correction automatique;export_clients_cavegest.xlsx;70;Client T00069;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);666670561;+33666670561;
Repris avec correction automatique;export_clients_cavegest.xlsx;71;Client T00070;phone;Téléphone complété d'un zéro initial (perdu par le tableur);221430610;+33221430610;
Repris avec correction automatique;export_clients_cavegest.xlsx;71;Client T00070;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;72;Client T00071;phone;Téléphone complété d'un zéro initial (perdu par le tableur);468384832;+33468384832;
Repris avec correction automatique;export_clients_cavegest.xlsx;73;Client T00072;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;74;Client T00073;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;74;Client T00073;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);629690521;+33629690521;
Repris avec correction automatique;export_clients_cavegest.xlsx;75;Client T00074;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;75;Client T00074;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);695658831;+33695658831;
Repris avec correction automatique;export_clients_cavegest.xlsx;76;Client T00075;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;76;Client T00075;phone;Téléphone complété d'un zéro initial (perdu par le tableur);176943158;+33176943158;
Repris avec correction automatique;export_clients_cavegest.xlsx;78;Client T00077;phone;Téléphone complété d'un zéro initial (perdu par le tableur);219214472;+33219214472;
Repris avec correction automatique;export_clients_cavegest.xlsx;78;Client T00077;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);689280007;+33689280007;
Repris avec correction automatique;export_clients_cavegest.xlsx;78;Client T00077;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;80;Client T00079;phone;Téléphone complété d'un zéro initial (perdu par le tableur);459148059;+33459148059;
Repris avec correction automatique;export_clients_cavegest.xlsx;82;Client T00081;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;82;Client T00081;phone;Téléphone complété d'un zéro initial (perdu par le tableur);570063646;+33570063646;
Repris avec correction automatique;export_clients_cavegest.xlsx;83;Client T00082;phone;Téléphone complété d'un zéro initial (perdu par le tableur);529842816;+33529842816;
Repris avec correction automatique;export_clients_cavegest.xlsx;84;Client T00083;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;85;Client T00084;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;85;Client T00084;phone;Téléphone complété d'un zéro initial (perdu par le tableur);377467315;+33377467315;
Repris avec correction automatique;export_clients_cavegest.xlsx;85;Client T00084;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;86;Client T00085;shipping_zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;86;Client T00085;shipping_phone;Téléphone complété d'un zéro initial (perdu par le tableur);135844967;+33135844967;
Repris avec correction automatique;export_clients_cavegest.xlsx;86;Client T00085;phone;Téléphone complété d'un zéro initial (perdu par le tableur);135844967;+33135844967;
Repris avec correction automatique;export_clients_cavegest.xlsx;86;Client T00085;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);628168456;+33628168456;
Repris avec correction automatique;export_clients_cavegest.xlsx;87;Client T00086;zip;Code postal complété d'un zéro initial (perdu par le tableur);5000;05000;
Repris avec correction automatique;export_clients_cavegest.xlsx;88;Client T00087;phone;Téléphone complété d'un zéro initial (perdu par le tableur);276296333;+33276296333;
Repris avec correction automatique;export_clients_cavegest.xlsx;88;Client T00087;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);630187734;+33630187734;
Repris avec correction automatique;export_clients_cavegest.xlsx;88;Client T00087;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;89;Client T00088;phone;Téléphone complété d'un zéro initial (perdu par le tableur);496580145;+33496580145;
Repris avec correction automatique;export_clients_cavegest.xlsx;89;Client T00088;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;90;Client T00089;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);642867647;+33642867647;
Repris avec correction automatique;export_clients_cavegest.xlsx;90;Client T00089;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;91;Client T00090;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;91;Client T00090;phone;Téléphone complété d'un zéro initial (perdu par le tableur);376753905;+33376753905;
Repris avec correction automatique;export_clients_cavegest.xlsx;91;Client T00090;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;92;Client T00091;phone;Téléphone complété d'un zéro initial (perdu par le tableur);368603400;+33368603400;
Repris avec correction automatique;export_clients_cavegest.xlsx;93;Client T00092;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;93;Client T00092;phone;Téléphone complété d'un zéro initial (perdu par le tableur);517186319;+33517186319;
Repris avec correction automatique;export_clients_cavegest.xlsx;94;Client T00093;phone;Téléphone complété d'un zéro initial (perdu par le tableur);273279923;+33273279923;
Repris avec correction automatique;export_clients_cavegest.xlsx;98;Client T00097;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);621899507;+33621899507;
Repris avec correction automatique;export_clients_cavegest.xlsx;100;Client T00099;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);695122107;+33695122107;
Repris avec correction automatique;export_clients_cavegest.xlsx;101;Client T00100;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);688492741;+33688492741;
Repris avec correction automatique;export_clients_cavegest.xlsx;104;Client T00103;shipping_zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;104;Client T00103;shipping_phone;Téléphone complété d'un zéro initial (perdu par le tableur);152949010;+33152949010;
Repris avec correction automatique;export_clients_cavegest.xlsx;104;Client T00103;phone;Téléphone complété d'un zéro initial (perdu par le tableur);152949010;+33152949010;
Repris avec correction automatique;export_clients_cavegest.xlsx;105;Client T00104;shipping_country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;105;Client T00104;shipping_phone;Téléphone complété d'un zéro initial (perdu par le tableur);518043958;+33518043958;
Repris avec correction automatique;export_clients_cavegest.xlsx;105;Client T00104;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;105;Client T00104;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;105;Client T00104;phone;Téléphone complété d'un zéro initial (perdu par le tableur);518043958;+33518043958;
Repris avec correction automatique;export_clients_cavegest.xlsx;106;Client T00105;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);635488804;+33635488804;
Repris avec correction automatique;export_clients_cavegest.xlsx;107;Client T00106;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;107;Client T00106;phone;Téléphone complété d'un zéro initial (perdu par le tableur);312908375;+33312908375;
Repris avec correction automatique;export_clients_cavegest.xlsx;108;Client T00107;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;109;Client T00108;shipping_country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;109;Client T00108;shipping_phone;Téléphone complété d'un zéro initial (perdu par le tableur);550125647;+33550125647;
Repris avec correction automatique;export_clients_cavegest.xlsx;109;Client T00108;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;109;Client T00108;phone;Téléphone complété d'un zéro initial (perdu par le tableur);550125647;+33550125647;
Repris avec correction automatique;export_clients_cavegest.xlsx;110;Client T00109;phone;Téléphone complété d'un zéro initial (perdu par le tableur);336553032;+33336553032;
Repris avec correction automatique;export_clients_cavegest.xlsx;111;Client T00110;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;112;Client T00111;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;112;Client T00111;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;112;Client T00111;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);655235089;+33655235089;
Repris avec correction automatique;export_clients_cavegest.xlsx;113;Client T00112;phone;Téléphone complété d'un zéro initial (perdu par le tableur);433859063;+33433859063;
Repris avec correction automatique;export_clients_cavegest.xlsx;114;Client T00113;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);662883165;+33662883165;
Repris avec correction automatique;export_clients_cavegest.xlsx;115;Client T00114;zip;Code postal complété d'un zéro initial (perdu par le tableur);1100;01100;
Repris avec correction automatique;export_clients_cavegest.xlsx;115;Client T00114;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);681137128;+33681137128;
Repris avec correction automatique;export_clients_cavegest.xlsx;116;Client T00115;phone;Téléphone complété d'un zéro initial (perdu par le tableur);154316276;+33154316276;
Repris avec correction automatique;export_clients_cavegest.xlsx;120;Client T00119;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;120;Client T00119;phone;Téléphone complété d'un zéro initial (perdu par le tableur);435525245;+33435525245;
Repris avec correction automatique;export_clients_cavegest.xlsx;120;Client T00119;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);642182127;+33642182127;
Repris avec correction automatique;export_clients_cavegest.xlsx;121;Client T00120;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);665150702;+33665150702;
Repris avec correction automatique;export_clients_cavegest.xlsx;121;Client T00120;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;122;Client T00121;phone;Téléphone complété d'un zéro initial (perdu par le tableur);321855823;+33321855823;
Repris avec correction automatique;export_clients_cavegest.xlsx;124;Client T00123;phone;Téléphone complété d'un zéro initial (perdu par le tableur);458520532;+33458520532;
Repris avec correction automatique;export_clients_cavegest.xlsx;124;Client T00123;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;126;Client T00125;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;126;Client T00125;phone;Téléphone complété d'un zéro initial (perdu par le tableur);370845704;+33370845704;
Repris avec correction automatique;export_clients_cavegest.xlsx;127;Client T00126;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;128;Client T00127;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;129;Client T00128;phone;Téléphone complété d'un zéro initial (perdu par le tableur);416602695;+33416602695;
Repris avec correction automatique;export_clients_cavegest.xlsx;129;Client T00128;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);656248371;+33656248371;
Repris avec correction automatique;export_clients_cavegest.xlsx;130;Client T00129;zip;Code postal complété d'un zéro initial (perdu par le tableur);5000;05000;
Repris avec correction automatique;export_clients_cavegest.xlsx;130;Client T00129;phone;Téléphone complété d'un zéro initial (perdu par le tableur);162454035;+33162454035;
Repris avec correction automatique;export_clients_cavegest.xlsx;130;Client T00129;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;131;Client T00130;zip;Code postal complété d'un zéro initial (perdu par le tableur);7000;07000;
Repris avec correction automatique;export_clients_cavegest.xlsx;131;Client T00130;phone;Téléphone complété d'un zéro initial (perdu par le tableur);335144539;+33335144539;
Repris avec correction automatique;export_clients_cavegest.xlsx;132;Client T00131;phone;Téléphone complété d'un zéro initial (perdu par le tableur);138376851;+33138376851;
Repris avec correction automatique;export_clients_cavegest.xlsx;132;Client T00131;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);632219483;+33632219483;
Repris avec correction automatique;export_clients_cavegest.xlsx;133;Client T00132;phone;Téléphone complété d'un zéro initial (perdu par le tableur);312900378;+33312900378;
Repris avec correction automatique;export_clients_cavegest.xlsx;134;Client T00133;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;134;Client T00133;zip;Code postal complété d'un zéro initial (perdu par le tableur);1100;01100;
Repris avec correction automatique;export_clients_cavegest.xlsx;135;Client T00134;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;136;Client T00135;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;136;Client T00135;phone;Téléphone complété d'un zéro initial (perdu par le tableur);242145726;+33242145726;
Repris avec correction automatique;export_clients_cavegest.xlsx;138;Client T00137;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
Repris avec correction automatique;export_clients_cavegest.xlsx;139;Client T00138;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;139;Client T00138;zip;Code postal complété d'un zéro initial (perdu par le tableur);9000;09000;
Repris avec correction automatique;export_clients_cavegest.xlsx;140;Client T00139;shipping_zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;141;Client T00140;phone;Téléphone complété d'un zéro initial (perdu par le tableur);220354752;+33220354752;
Repris avec correction automatique;export_clients_cavegest.xlsx;142;Client T00141;zip;Code postal complété d'un zéro initial (perdu par le tableur);1000;01000;
